年份,月份,度數(千度)
95,1,767231
95,2,699534
95,3,895173
95,4,728687
95,5,1054890
95,6,1539656
95,7,1169642
95,8,1332027
95,9,1308356
95,10,905477
95,11,715037
95,12,725178
96,1,1179129
96,2,933489
96,3,1133052
96,4,1089853
96,5,1120915
96,6,1055188
96,7,1018755
96,8,1174700
96,9,1079874
96,10,905761
96,11,660971
96,12,472340
97,1,754090
97,2,761851
97,3,904969
97,4,828754
97,5,756475
97,6,1120544
97,7,796080
97,8,617981
97,9,976461
97,10,613538
97,11,585707
97,12,1080057
98,1,596082
98,2,819242
98,3,647885
98,4,773470
98,5,541245
98,6,1193483
98,7,1252344
98,8,1028245
98,9,1165151
98,10,1005120
98,11,969995
98,12,1332211
99,1,833356
99,2,707059
99,3,793212
99,4,551819
99,5,559360
99,6,721295
99,7,689843
99,8,754553
99,9,1166280
99,10,928045
99,11,842976
99,12,954350
100,1,723407
100,2,715410
100,3,701930
100,4,543943
100,5,569453
100,6,865254
100,7,726399
100,8,875301
100,9,1029522
100,10,727555
100,11,777644
100,12,999029
101,1,496075
101,2,363447
101,3,488207
101,4,391169
101,5,404643
101,6,558646
101,7,1008992
101,8,1059503
101,9,932825
101,10,582977
101,11,472396
101,12,450443
102,1,743789
102,2,675367
102,3,772069
102,4,673880
102,5,908497
102,6,1044739
102,7,946485
102,8,989250
102,9,954917
102,10,706988
102,11,685511
102,12,596382
103,1,644859
103,2,634670
103,3,859546
103,4,891497
103,5,654203
103,6,921485
103,7,870584
103,8,1030918
103,9,968219
103,10,738992
103,11,601632
103,12,681279
104,1,674486
104,2,588356
104,3,738636
104,4,555915
104,5,574416
104,6,850185
104,7,899007
104,8,853078
104,9,854378
104,10,708573
104,11,705400
104,12,755171
105,1,743028
105,2,710324
105,3,647755
105,4,475107
105,5,463513
105,6,767716
105,7,974322
105,8,1063556
105,9,961120
105,10,634758
105,11,401390
105,12,677943
106,1,573402
106,2,620875
106,3,432144
106,4,459178
106,5,420403
106,6,603456
106,7,612333
106,8,784417
106,9,901031
106,10,457683
106,11,341650
106,12,457155
107,1,493859
107,2,489232
107,3,571815
107,4,472250
107,5,845448
107,6,793846
107,7,903063
107,8,658031
107,9,584567
107,10,504693
107,11,572058
107,12,416011
108,1,560671
108,2,495027
108,3,437683
108,4,529635
108,5,247199
108,6,597563
108,7,1010154
108,8,418145
108,9,831657
108,10,678288
108,11,633998
108,12,492689
109,1,563403
109,2,449202
109,3,465463
109,4,415610
109,5,421891
109,6,634611
109,7,693943
109,8,805839
109,9,881406
109,10,509377
109,11,425536
109,12,528916
110,1,598429
110,2,540066
110,3,671646
110,4,487858
110,5,776807
110,6,740177
110,7,802493
110,8,834598
110,9,600401
110,10,667017
110,11,498189
110,12,642959
111,1,447065
111,2,302109
111,3,327952
111,4,248283
111,5,296231
111,6,306397
111,7,349962
111,8,444227
111,9,482721
111,10,1042256
111,11,956714
111,12,861295
112,1,625331
112,2,520699
112,3,545475
112,4,328389
112,5,695572
112,6,857532
112,7,813034
112,8,918437
112,9,802635
112,10,805898
112,11,553669
112,12,837099
113,1,649719
113,2,439964
113,3,504780
113,4,442049
